SourceFile	LoMZ	HiMZ	WidthMZ	IonMobility	MassResolvingPower	MSMSCount	RTMin	RTMax	CycleTimeMedian	TIC25ileRT	TIC50ileRT	TIC75ileRT	TotalTIC	PkCountMin	PkCount25ile	PkCount50ile	PkCount75ile	PkCountMax
B_D140314_SGSDSsample1_R01_MHRM_T0	400	430	30	0	35000	2204	0.0085656475	129.9529	3.5007477	22.058691	36.66958	48.509056	1.5165351E+10	83	151	543	997	1369
B_D140314_SGSDSsample1_R01_MHRM_T0	428	459	31	0	35000	2204	0.011294881	129.95563	3.5009766	23.841791	41.413315	56.5108	2.0327936E+10	120	251	656	1165	1770
B_D140314_SGSDSsample1_R01_MHRM_T0	457	483	26	0	35000	2204	0.014036531	129.95837	3.5009766	26.977335	46.0757	62.47975	1.7438755E+10	75	248	698	1089	1653
B_D140314_SGSDSsample1_R01_MHRM_T0	481	506	25	0	35000	2204	0.01677598	129.9611	3.5010338	28.338064	44.783054	62.19008	1.5262678E+10	61	292	796	1088	1604
B_D140314_SGSDSsample1_R01_MHRM_T0	504	531	27	0	35000	2204	0.019521613	129.96385	3.5014343	33.808334	49.098785	64.89241	1.829767E+10	106	328	875	1173	1716
B_D140314_SGSDSsample1_R01_MHRM_T0	529	554	25	0	35000	2204	0.022263415	129.96658	3.5014343	36.508045	52.138012	66.763	1.5124265E+10	96	363	843	1168	1672
B_D140314_SGSDSsample1_R01_MHRM_T0	552	576	24	0	35000	2204	0.025003167	129.96933	3.5014343	37.15352	53.18939	69.563126	1.6325196E+10	63	375	782	1148	1824
B_D140314_SGSDSsample1_R01_MHRM_T0	574	600	26	0	35000	2204	0.02774488	129.97208	3.5014343	38.973682	55.708836	71.44894	1.7821798E+10	110	501	877	1210	1795
B_D140314_SGSDSsample1_R01_MHRM_T0	598	624	26	0	35000	2204	0.03048638	129.97482	3.5014343	40.84846	59.510593	76.327774	1.6635628E+10	120	509	926	1280	1925
B_D140314_SGSDSsample1_R01_MHRM_T0	622	650	28	0	35000	2204	0.03322798	129.97755	3.5015488	45.153065	62.26595	80.56002	1.5358815E+10	107	521	917	1311	2008
B_D140314_SGSDSsample1_R01_MHRM_T0	648	676	28	0	35000	2204	0.035971846	129.98032	3.5014343	46.96588	65.95945	81.15036	1.6969086E+10	117	512	973	1338	2098
B_D140314_SGSDSsample1_R01_MHRM_T0	674	704	30	0	35000	2204	0.03873025	129.98306	3.5014343	49.06031	66.71988	84.08396	1.5427181E+10	88	537	958	1369	2616
B_D140314_SGSDSsample1_R01_MHRM_T0	702	735	33	0	35000	2204	0.0414886	129.98582	3.5014343	50.51859	67.539	86.369736	1.6449487E+10	80	605	1055	1455	2425
B_D140314_SGSDSsample1_R01_MHRM_T0	733	771	38	0	35000	2204	0.044246834	129.98859	3.5014343	55.72533	72.69934	89.96018	1.8810175E+10	89	606	1155	1580	2710
B_D140314_SGSDSsample1_R01_MHRM_T0	769	810	41	0	35000	2204	0.04700508	129.99135	3.5014343	60.401142	80.63157	97.137215	1.2714441E+10	62	575	1108	1564	2448
